Fuente_Industrial,Velocidad_Corriente,Profundidad,Concentracion_Mercurio,Impacto_Ecologico,Riesgo_Humano
0,1,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,1
0,1,0,0,0,0
0,0,0,0,0,0
0,1,1,2,1,0
0,1,0,0,0,0
1,1,1,0,0,0
0,0,0,0,1,0
1,0,1,2,1,1
0,1,1,1,1,1
1,1,1,1,1,0
1,0,1,0,0,0
0,1,0,0,0,0
0,1,0,1,1,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,1,2,1,0
0,0,1,1,0,0
0,0,1,1,0,0
0,1,0,2,1,1
0,0,0,0,0,0
0,0,1,0,0,0
0,0,1,1,0,1
0,0,0,1,1,0
1,1,1,2,1,1
0,0,0,0,0,0
0,0,1,2,1,0
0,1,0,0,1,0
0,0,0,1,1,0
0,0,1,0,0,0
0,0,0,0,0,0
0,0,1,1,1,1
1,0,1,0,0,0
1,0,1,1,1,0
1,0,0,0,0,0
0,1,0,2,1,0
0,0,0,1,0,0
0,0,1,1,1,0
0,1,1,0,0,0
0,0,1,1,0,0
0,1,1,0,0,0
0,0,1,0,1,0
1,1,1,2,1,1
0,0,0,0,0,0
0,0,1,2,1,0
0,0,0,0,0,0
0,1,1,1,1,0
0,0,1,0,0,0
0,0,1,0,0,0
1,0,0,0,0,0
1,1,0,2,0,1
1,0,0,1,0,0
1,1,0,1,1,1
0,0,0,0,0,0
1,0,1,0,0,0
0,0,1,2,1,1
0,0,0,1,0,0
0,0,0,0,0,1
0,0,0,0,0,0
0,1,1,0,0,0
0,0,1,0,0,0
1,0,1,0,0,0
0,0,0,0,0,0
0,0,1,1,1,0
0,0,1,1,0,0
0,0,0,0,0,0
1,0,1,0,0,0
0,1,0,0,0,0
1,1,1,1,1,0
1,0,0,2,0,0
0,0,1,1,0,0
0,1,1,0,0,0
1,0,1,0,0,0
1,0,1,0,1,0
1,0,0,2,0,1
1,1,0,0,0,0
0,1,0,1,0,0
0,0,0,0,0,1
0,0,1,1,1,1
1,0,0,0,0,0
0,1,1,1,0,0
0,0,1,2,1,1
0,0,1,0,0,0
0,1,0,0,0,0
0,0,1,0,0,0
1,1,1,1,1,0
0,0,0,1,0,1
1,0,1,1,0,0
0,0,1,1,1,0
0,1,0,1,0,1
1,1,1,0,0,0
1,1,0,0,0,0
0,0,0,0,0,0
1,1,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,1,0,1,0,0
0,0,1,2,1,1
0,0,1,0,0,0
0,0,1,1,1,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,1,0,0,0
1,0,0,0,0,0
0,1,0,0,0,1
0,1,1,2,0,1
1,0,0,1,1,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,0,0,0,0
0,0,0,2,1,1
1,1,1,2,1,1
1,0,0,0,0,0
0,0,0,0,0,0
1,0,1,1,1,0
1,0,0,2,1,1
0,1,1,1,0,0
1,1,1,2,1,1
0,0,0,1,1,0
1,1,0,0,0,0
1,0,0,0,0,1
0,1,0,1,0,0
0,1,0,1,0,0
0,0,1,2,1,1
0,0,0,0,0,0
1,0,1,0,0,0
1,0,1,2,1,1
0,1,1,2,1,1
0,0,1,0,1,1
0,0,0,0,1,0
0,1,1,0,0,0
0,1,1,0,0,1
0,0,0,0,0,0
1,0,0,2,1,1
0,0,1,2,1,0
0,0,0,0,0,0
1,1,0,1,1,0
0,0,0,0,0,0
1,0,0,0,0,0
1,0,1,2,1,1
0,0,1,0,0,0
0,1,1,1,0,0
0,1,0,0,0,0
0,0,0,0,0,0
0,0,0,1,1,0
0,0,0,0,0,0
0,1,0,1,1,1
0,1,1,1,0,1
0,0,0,0,0,0
1,1,1,1,0,0
0,1,0,2,1,1
0,0,0,0,0,0
0,1,0,0,0,0
1,0,1,2,1,1
0,0,1,1,1,1
0,0,1,0,0,0
1,0,0,2,1,1
0,0,0,0,0,0
1,1,1,1,1,0
0,0,0,0,0,0
0,1,1,0,0,0
0,0,0,0,0,0
0,0,0,1,0,1
0,0,0,0,0,0
1,0,0,2,1,0
0,1,1,0,0,0
0,0,0,0,0,0
0,0,0,0,0,1
0,0,0,0,0,0
0,1,0,0,0,0
0,1,1,2,1,1
0,1,1,1,1,0
0,0,1,0,0,0
0,0,1,2,1,1
0,0,0,1,1,1
0,0,1,1,0,0
0,0,0,0,0,0
1,0,0,1,0,1
0,0,1,1,1,0
0,0,0,0,0,0
0,1,1,1,1,0
1,0,0,1,1,0
1,0,1,2,1,1
0,1,1,1,0,1
0,0,1,1,1,1
1,1,1,1,1,0
0,0,1,0,0,1
0,0,0,1,1,1
0,1,1,1,1,0
0,1,0,0,0,0
1,1,1,2,1,0
1,0,1,2,0,1
0,0,1,2,1,0
0,0,0,0,0,0
0,0,0,2,0,1
1,1,1,2,1,0
1,0,0,2,1,1
1,1,0,0,0,0
1,0,0,0,0,0
0,0,1,1,1,0
0,0,1,1,1,1
0,1,0,2,0,1
1,1,0,0,0,0
0,1,0,0,0,0
0,1,1,0,0,0
0,1,1,0,0,0
0,1,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,1,0,0,0
0,1,1,0,0,0
0,1,0,0,1,0
0,0,0,0,0,1
1,1,0,0,0,0
0,1,1,1,0,0
0,0,0,0,0,0
1,0,1,0,0,0
0,1,1,1,1,0
1,0,0,0,0,1
0,1,0,0,0,0
0,0,0,0,0,0
0,1,1,0,1,0
0,1,1,1,1,0
0,1,1,0,0,0
0,0,1,2,1,0
